,SHAP
ENST00000647913.2,50
MSTRG.36020.28,50
MSTRG.36020.14,50
ENST00000395951.7,45
ENST00000358395.11,38
ENST00000307259.9,38
MSTRG.4214.3,37
MSTRG.17108.17,36
ENST00000493987.5,35
MSTRG.24071.9,35
ENST00000300184.8,34
ENST00000529768.5,34
MSTRG.14189.5,34
ENST00000472755.2,34
MSTRG.2401.8,33
ENST00000548171.1,33
ENST00000621129.5,32
ENST00000482437.5,32
MSTRG.15653.10,30
ENST00000620525.1,30
ENST00000647441.1,28
MSTRG.19853.4,28
MSTRG.30522.25,28
ENST00000382899.9,28
ENST00000638094.1,27
ENST00000428017.5,27
ENST00000486860.5,27
ENST00000567391.5,26
MSTRG.4878.5,25
MSTRG.7480.16,24
MSTRG.11438.3,20
MSTRG.15957.1,19
MSTRG.26738.5,19
MSTRG.10526.12,19
ENST00000605833.2,19
MSTRG.1559.106,17
ENST00000438261.5,17
ENST00000545631.2,17
MSTRG.1964.2,16
MSTRG.21762.26,16
MSTRG.31018.6,16
ENST00000361444.3,16
ENST00000427928.1,15
MSTRG.9001.10,15
ENST00000394166.8,15
ENST00000397311.4,15
MSTRG.25255.27,15
MSTRG.18967.1,15
MSTRG.28171.3,15
MSTRG.29296.59,14
